title,year,stars
Roseland,1995,['7']
Rothbury Night,2009,"['9', '12']"
Rotterdam 1987,2004,['8']
Rough Cuts,1994,"['8', '9']"
Royal Albert Hall 1966,1989,['9']
Roving Gambler,2001,['8']
Live Dylan With The Band,1987,"['7', '8']"
Rundown Rehearsal Tapes,2002,['8']
Rundown To Maggie,1990,['7']
Saint Valentine's Day,2001,"['8', '12']"
Salt For Salt,1995,['8']
San Franciscan Nights,1994,"['1', '3']"
San Francisco Bay Blues,1992,['7']
San Francisco Bay Bridge,2008,['9']
San Jos,2005,"['9', '12', '10']"
San Jose '92,1993,['8']
San Jose '98 Soundboard,1999,['10']
San Jose '98 Soundboard,1999,['10']
San Jose Calling,1998,['10']
San Jose Revisited,1992,['8']
San Rafael Rehearsals vol 2,1994,['8']
"Santa Cruz, CA 16/3/00",2000,['8']
Satisfied Man,1997,"['8', '12']"
Scandinavium 2005,2005,['8']
Second Amazing Night,2003,['8']
Second Gaslight Tape,2002,"['8', '12']"
Second Supper,1994,['7']
Seek Your Maker,2008,"['9', '12']"
Seeking Salvation,2002,"['8', '9']"
Sensei,1994,['8']
Session,1989,"['7', '8']"
Seven Years of Bad Luck,2001,"['8', '12']"
Something Else,1992,['7']
Shadows Are Falling,1999,"['8', '12']"
Sharp Eyed Se,2002,['8']
Sheffield 2000,2000,['9']
Shelter From The Storm,2002,['8']
Shelter From the Storm,2005,"['8', '12']"
Shelter From The Storm Vol. 2,2005,['8']
Shepherds Bush Empire 2003,2003,['9']
Shifts And Changes,2004,['9']
Shot of Live,2002,['6']
Simple Man Keep Waitin,1995,"['4', '5']"
Sing A Little Bit Of These Workingman's Blues,2007,['8']
Singing With The Crow,-,['10']
Six Days In June Vol. 1,1998,['8']
Six Days In June,1998,['8']
Six Days In June Vol. 3,1998,['9']
Skippin' Reels of Rhyme,1995,"['8', '9']"
Solid Rock            (1980,1989,"['9', '12']"
Solid Rock (2002,2002,"['9', '10']"
"Some Of The Bootleggers, They Make Pretty Good Stuff",2002,['9']
Somebody Touched Me,2000,"['8', '12']"
Someone's Distant Cry,2008,"['8', '12', '9', '12']"
Something Calls For You,2010,"['7', '8']"
Something Else,1992,['7']
Something is Happening Here,1996,"['8', '9']"
Songs For Bonnie,2002,"['8', '12']"
Songs For Patty Valentine,1994,"['7', '8']"
Songs From The Soundboard '97,0000,"['8', '12']"
Songs Of Darkness Songs Of Light,1995,['8']
Songs That Made Him Famous,1995,['6']
Sooner Or Later,1995,"['8', '8', '12']"
Soul,1996,['10']
Sound Of Silence,2001,['7']
Sounds Inside My Mind,2001,"['8', '12']"
Spanish is the Loving Tongue,0000,"['6', '7']"
Spare The Defeated,2009,['8']
Spirits Of The Ryman,2008,['7']
Special Night,1992,"['8', '12']"
Spokane 2001,2002,['9']
Spring Days,2007,['8']
Squaring The Circle,1993,['8']
St. Paul 2002,2003,['9']
Stadiums of the Damned,1992,['8']
Stars from the Darkest Night,1999,"['9', '12']"
Staying Here With You,1993,"['7', '12']"
Stirling 2001,2002,['9']
Stockholm 2002,2002,['9']
Stolen Moments,-,['10']
Stop Crying,1995,"['8', '8', '12']"
Street Legal in Seattle,2003,['7']
Strip Tease,1989,"['6', '7']"
Stuck Inside of New York,1991,"['8', '12']"
Stuck Inside Of NY With the Beacon Blues Again,2005,['8']
Stuck Inside of Roseland with the New York Blues Again,1995,"['8', '12']"
Studs Terkel's Wax Museum,1994,['10']
Stumblin' Along,1994,['8']
Sugar Babe,2003,['9']
Sukiyaki Party In Budokan,2003,['8']
Summer Night 1995,1995,"['8', '12']"
Summer Nights Are Gone,2009,"['7', '9']"
Summer Tour 1995 Vol. I,1995,['5']
Summer Tour 1995 Vol. II,1995,['5']
Sun Beating At The Altar,2000,['9']
Sunset Studio 1965,2002,['8']
Supper Club,2002,"['9', '10']"
Supper Club Early Show,2008,['8']
Surviving In A Ruthless World,2002,['8']
Surviving In A Ruthless World,2008,"['8', '9']"
Tailgates And Substitutes,1998,['8']
Tales Of A Mexican Painter,1999,[]
Tales Of Yankee Power,2002,"['6', '12', '7']"
Talking Too Much,1963,"['8', '9']"
Tall Grass,-,['6']
Tampa Dee,2002,['8']
Tangled Up In Blue,1993,['8']
Tell It Like It Is,1993,['8']
Tell Ol' Bill Sessions,2006,['9']
Telluride Town,2002,['8']
Tempest Storm,1997,"['8', '9']"
Temples In Flames,1991,['8']
Testament,1994,"['7', '8']"
Thank You Ev'rybody,2002,"['5', '6']"
There's a Place of Broken Dreams,0000,['8']
They Don't Deserve It,1991,"['6', '12']"
Thin Wild Mercury Music,1994,['9']
Things Have Changed,2001,['9']
Think I'll Call It A Man,2008,"['8', '8', '12']"
Genuine Bootleg Series 3,1999,"['5', '10']"
Revisiting Autobahn '95,2003,['9']
This Show's On Fire,2005,['7']
Through A Bullet Of Light,1994,"['7', '12']"
Through A Glass Darkly,1995,['8']
Time And Time Again,1998,['8']
Toad's Place Vol. 1,1993,"['5', '6']"
Toad's Place Vol. 2,1993,"['5', '6']"
Tokyo Legal,2008,"['8', '12']"
Tomorrow Nights,1993,"['6', '7']"
Tomorrow Is Never Gonna Be The Same Again,2003,['8']
Tonight I'll Be Playing Here For You,1998,['10']
Torino,0000,"['7', '5']"
Tour Diary 1997,1997,"['8', '12']"
Trad. Arr. Dylan,2001,"['7', '8']"
Trailing Moss in Mystic Glow,2002,['9']
Train On Down To Brighton,2007,['8']
Trainload Of Fools,2001,['7']
Traveling Wilburys Vol. 2 (Beta,1991,"['4', '5']"
Traveling Wilburys Vol. 2,1990,['10']
Traveling Wilburys Vol. Four,1990,['8']
Traveling Wilburys Vol. 4,0000,['8']
Traveling Wilburys Vol. 4,1991,['8']
Tree With Roots,2001,"['8', '9']"
Tribute To The Martyrs,2003,['8']
True Confessions,-,['10']
True Confessions For Carol,2002,['10']
True Love Needs No Company,2001,"['9', '12']"
True Stories,1994,['8']
TV Guide,0000,"['5', '8']"
Tweedle Dee Tweedle Dum,2002,['9']
Twelve Curses,1990,"['8', '9']"
Untitled 1976,1998,"['7', '12']"
Bob Dylan with the Grateful Dead Live Vol 1 BobsBoots,1993,"['8', '9']"
Bob Dylan with the Grateful Dead Live Vol 2 BobsBoots,1993,['9']
Uncut Unplugged,1995,['9']
Bob Dylan Live (Unlicensed,1995,['9']
Unplugs It Once More,1995,['9']
Unravelled Tales,2008,['10']
Unreleased Live Album,2002,['9']
Untitled 1976,1998,"['7', '12']"
Untitled 1976,1998,"['7', '12']"
Up,2008,"['7', '8']"
Violence of a Summer's Dream,2000,['9']
Visit To Islael,1994,"['7', '8']"
Voice From On High,2003,['7']
Voices In The Garden,1998,['8']
Voices Of Freedom,-,['8']
Walk Around Heaven All Day,2006,['8']
Traveling Wilburys Vol. 2,1990,['10']
Wanted Man,1992,['8']
War Against The Spirit CD,2007,"['8', '12']"
The Warfield,1992,['8']
Warfield Witness,2009,['7']
Other (Funny) Side of Bob Dylan,2007,"['7', '9']"
Watching The River Flow,1995,"['8', '9']"
Way To San Jose,2002,['10']
Ways of the Flesh,2008,"['8', '12']"
We Had Known A Lion,1998,"['8', '12']"
We Hear You Knockin' CD,2008,['9']
Wear The Fox Hat,2004,"['7', '8']"
Weberman Phone Calls,0000,"['8', '9']"
Week In The Life,1995,"['8', '9']"
Wolftrap 3CD,1998,"['8', '12', '9', '12']"
Wembley Arena 2003 CD,2003,['9']
Wembley Arena 1st 2007,2007,['9']
Wembley Arena 2nd 2007 CD,2007,['9']
West Coast Mountain,2006,['8']
What Are You Trying To,1998,['8']
What's Real,1994,['8']
When Friends Are Coming,1992,['9']
Where Are You Now My Blue Eyed Son,2008,"['1', '8']"
While The Establishment Burns,2000,"['7', '7', '12']"
White Dove,1999,['10']
Who Lives Outside The Law Has To Be Honest,2003,['8']
Dr Zimmermans Original Old Time Hootenanny,1989,"['6', '7']"
Wicked Messenger,1997,['9']
Wiener Club Of Spalding,1994,['8']
Wild Cathedral Evening,1994,"['7', '8']"
Windshield Vipers,2004,['8']
With A Little Help of Two Stones,1988,['7']
With One Hand Waving Free,1995,"['6', '7']"
With One Hand Waving Free 2,1995,['7']
Witmark Demos,1994,['7']
Witmark Years,1994,"['7', '12']"
Wolf is Looking Down CD,2005,['8']
Wolftrap,1996,['8']
Wolftrap 3CD,1998,"['8', '12', '9', '12']"
Woodstock '94 (Living Legends,1995,['9']
Woodstock 1994,1994,"['8', '12']"
Woodstock Revisited,1994,['8']
World Full Of Lies CD,2008,"['8', '12']"
Yankee Power,0000,[]
Yesterday,1995,['8']
You Ain't Goin' Nowhere,1998,['7']
You Can't Kill An Idea (Part 1,1990,['9']
You Can't Kill An Idea (Part 2,1990,['9']
You Don't Know Me,1992,['8']
You Go Your Way and I'll Go Mine,2004,"['8', '9']"
You Gotta Serve Somebody,1992,['7']
You Know Tom Thumb,2000,['7']
You May Call Me Zimmy,1997,['8']
Your Voice Was All That I Heard,1996,['7']
Your Voice Was All That I Heard,1996,['7']
Hard To Find Vol. 6,1998,"['8', '9']"
